,alias,concept_class,def_event_stamp,def_id,def_id_user,definition_text,event_stamp,id,id_concept_class,id_user,name,relationships,type
0,,,2011-08-10 20:41:26,def_4e42ecf5ef5a9,usr_4e42a3196fbcd,The process of adopting an explanatory hypothesis; inferring the cause A as a possible explanation for the consequence B ,2009-06-22 19:12:54,trm_4a3fd79d096be,ctp_C3,usr_0000000000,abductive reasoning,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d0aec1', u'relationship': u'kind of'}]",concept
1,,,2012-03-28 15:36:11,def_4f732feb3ba80,usr_49a467bf4e0db,high-level analogy that retains general information relevant to many specific instances,2009-06-22 19:12:54,trm_4a3fd79d096e3,ctp_C3,usr_0000000000,abstract analogy,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d09827', u'relationship': u'kind of'}]",concept
2,,,2012-03-28 15:36:29,def_4f732ffd07a8f,usr_49a467bf4e0db,Knowledge that is general and not tied to a specific instance.,2009-06-22 19:12:54,trm_4a3fd79d096f0,ctp_C3,usr_0000000000,abstract knowledge,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d0a746', u'relationship': u'kind of'}]",concept
3,,,2011-08-10 20:52:52,def_4e42efa44f56e,usr_4e42a3196fbcd,a type of short term memory coding that represents the acoustic properties of the signal,2009-06-22 19:12:54,trm_4a3fd79d096fc,ctp_C1,usr_0000000000,acoustic coding,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d09ab2', u'relationship': u'part of'}]",concept
4,,,2012-03-28 15:36:53,def_4f733015ca0b5,usr_49a467bf4e0db,the processing and encoding of auditory input for storage and later retrieval.,2009-06-22 19:12:54,trm_4a3fd79d09707,ctp_C1,usr_0000000000,acoustic encoding,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d0b8e5', u'relationship': u'kind of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d0b8e5', u'relationship': u'kind of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d09ab2', u'relationship': u'part of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d09aa7', u'relationship': u'part of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d09a3d', u'relationship': u'part of'}]",concept
5,,,2012-03-28 15:37:10,def_4f7330267caeb,usr_49a467bf4e0db,"the cognitive ability to discriminate items on the basis of contrasts in sonorance, manner, place, or voicing in auditory stimuli.
",2009-06-22 19:12:54,trm_4a3fd79d09713,ctp_C6,usr_0000000000,acoustic phonetic processing,"[{u'direction': u'parent', u'id': u'trm_4a3fd79d09ab2', u'relationship': u'kind of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d09ab2', u'relationship': u'part of'}, {u'direction': u'parent', u'id': u'trm_4a3fd79d0b1f7', u'relationship': u'part of'}]",concept
6,,,2012-03-28 15:37:24,def_4f733034363c8,usr_49a467bf4e0db,"the extraction of information from signals propagated undersea, in the atmosphere, or in the solid earth in the presence of acoustic noise.",2009-06-22 19:12:54,trm_4a3fd79d0971e,ctp_C1,usr_0000000000,acoustic processing,,concept
7,,,2012-03-28 15:39:58,def_4f7330cec99ff,usr_49a467bf4e0db,"the bringing about of an alteration by force or through a natural agency; expression by means of attitude, voice, and gesture; a function of the body or one of its parts; an act of will; a thing done; the accomplishment of a thing usually over a period of time, in stages, or with the possibility of repetition.",2009-06-22 19:12:54,trm_4a3fd79d09735,ctp_C7,usr_0000000000,action,"[{u'direction': u'child', u'id': u'trm_557b4a7315f1b', u'relationship': u'part of'}, {u'direction': u'child', u'id': u'trm_4a3fd79d0af71', u'relationship': u'part of'}, {u'direction': u'child', u'id': u'trm_4a3fd79d0ac30', u'relationship': u'part of'}]",concept
8,,,2012-03-28 15:29:57,def_4f732e7554ae8,usr_49a467bf4e0db,the facilitation or initiation of an act,2009-06-22 19:12:57,trm_4a3fd79d0b5c0,ctp_C7,usr_0000000000,action initiation,,concept
9,,,2013-04-01 17:12:44,def_5159c00c3e2c9,usr_4de5345b3b6a8,The ability to perceive the purpose of an action being performed by an animate entity.,2013-04-01 17:12:44,trm_5159c00c3dac3,,usr_4de5345b3b6a8,action perception,,concept
