,concept,contrast
0,trm_4a3fd79d0b64e,cnt_4e03bc67764f5
1,trm_558c7b14c076e,cnt_553e85f11747b
2,trm_4a3fd79d0af71,cnt_553e85f11747b
3,trm_558c7b707f606,cnt_553e85f11747b
4,trm_4a3fd79d0b5a7,cnt_4b4a5473705db
5,trm_4a3fd79d0a723,cnt_4dfa42dddd062
6,trm_4a3fd79d0b4cd,cnt_4dfa42dddd062
7,trm_4a3fd79d0a6ad,cnt_4b8436c051c94
8,trm_4a3fd79d0b64e,cnt_4de6c5f53e708
9,trm_4a3fd79d0addc,cnt_4df2918824fb9
10,trm_4a3fd79d0a9dc,cnt_52728153ba9d7
11,trm_4a3fd79d0a972,cnt_4df118fd720dd
12,trm_4a3fd79d0b0f7,cnt_4de93ddadf379
13,trm_4a3fd79d0a4f9,cnt_4de93ddadf379
14,trm_4a3fd79d0b95b,cnt_4de93ddadf379
15,trm_4a3fd79d0b967,cnt_4de93ddadf379
16,trm_4a3fd79d0b49e,cnt_4de93ddadf379
17,trm_4a3fd79d0ac9e,cnt_4e08f5aa73703
18,trm_5022ef7599294,cnt_502422c805b89
19,trm_4a3fd79d0b154,cnt_52717eff2a75d
20,trm_4a3fd79d0b1a6,cnt_4df133b48842d
21,trm_557b4b56de455,cnt_55399f4618e42
22,trm_4a3fd79d0af71,cnt_55399f4618e42
23,trm_557b4a7315f1b,cnt_55399f4618e42
24,trm_4a3fd79d0a33b,cnt_55399f4618e42
25,trm_4a3fd79d0b457,cnt_5020196a49a19
26,trm_4f4511e519b53,cnt_52717f1a9b5ee
27,trm_4a3fd79d0b39d,cnt_4df2a4de25215
28,trm_4a3fd79d0b160,cnt_4df2a4de25215
29,trm_502abeab4e1d8,cnt_502ac6291faaa
30,trm_4a3fd79d0b64e,cnt_4df8ef7a8d7c3
31,trm_557b4a7315f1b,cnt_4e0182336c9cc
32,trm_4b75ed06c917d,cnt_524b5772e43a8
33,trm_4a3fd79d0b4b5,cnt_55a3028a5477b
34,trm_4a3fd79d0a914,cnt_5262cd27045a1
35,trm_4a3fd79d09707,cnt_4de968d88e3d3
36,trm_4a3fd79d09a3d,cnt_4de968d88e3d3
37,trm_4a3fd79d09a49,cnt_4de968d88e3d3
38,trm_4a3fd79d0a15c,cnt_4de968d88e3d3
39,trm_4a3fd79d0b8e5,cnt_4de968d88e3d3
40,trm_4a3fd79d0b756,cnt_4de968d88e3d3
41,trm_4a3fd79d0a7d4,cnt_4de968d88e3d3
42,trm_4a3fd79d0ac87,cnt_4de968d88e3d3
43,trm_4a3fd79d098a6,cnt_4de968d88e3d3
44,trm_4a3fd79d0b8d9,cnt_4de968d88e3d3
45,trm_4a3fd79d0a4f9,cnt_50b6603a36ae2
46,trm_5022ef7599294,cnt_523df7d6697ef
47,trm_4a3fd79d0abaa,cnt_50eb3dca702f2
48,trm_4a3fd79d09be2,cnt_502ade521b4bd
49,trm_4a3fd79d0b938,cnt_5262cbd26aa57
50,trm_4a3fd79d0ae3d,cnt_5005cae1dffba
51,trm_523c7c13bc55f,cnt_5298e7d15982e
52,trm_4a3fd79d09883,cnt_52b4cfac3a8ce
53,trm_4a3fd79d0b5a7,cnt_4b4a5481dc0f2
54,trm_4a3fd79d0a972,cnt_5262d6ff7da05
55,trm_4a3fd79d0a3d2,cnt_4ded3b16cdb74
56,trm_4a3fd79d0b46f,cnt_4ded3b16cdb74
57,trm_4a3fd79d09764,cnt_50eb12958b083
58,trm_4aae62e4ad209,cnt_50eb12958b083
59,trm_4a3fd79d0acc1,cnt_50184d223ef01
60,trm_4a3fd79d0b5a7,cnt_4b4a5490f1bb4
61,trm_4a3fd79d09ab2,cnt_55a3034ca0943
62,trm_4a3fd79d0b5a7,cnt_4b4a5f85437c2
63,trm_558c7b14c076e,cnt_553e865d69738
64,trm_4b82c75498408,cnt_4ded60eb3a50f
65,trm_4a3fd79d0aaa4,cnt_4ded60eb3a50f
66,trm_4a3fd79d0b4a9,cnt_4ded60eb3a50f
67,trm_4a3fd79d0b9ad,cnt_4ded60eb3a50f
68,trm_4a3fd79d0a972,cnt_4ded2aa1ea79d
