,contrast_text,contrast_uri,event_stamp,id,id_user
0,Generation minus baseline,,2014-04-10 12:46:21,cnt_5346929d22655,usr_49a467bf4e0db
1,areas of activation during task minus baseline,,2011-06-22 21:44:37,cnt_4e02624559a17,usr_4de5345b3b6a8
2,number correct forward,,2013-01-28 21:36:40,cnt_5106ef685b53d,usr_4de5345b3b6a8
3,number correct backward,,2013-01-28 21:36:48,cnt_5106ef70e1f21,usr_4de5345b3b6a8
4,number in correct order,,2013-01-28 21:37:04,cnt_5106ef8038cf0,usr_4de5345b3b6a8
5,emotionally reactive,,2013-10-01 22:19:23,cnt_524b4a6b1b418,usr_51bc76ae9636c
6,anxious depressed,,2013-10-01 22:19:37,cnt_524b4a79a1a62,usr_51bc76ae9636c
7,somatic complaints,,2013-10-01 22:20:02,cnt_524b4a92ba8fb,usr_51bc76ae9636c
8,withdrawn,,2013-10-01 22:20:14,cnt_524b4a9eaee3a,usr_51bc76ae9636c
9,sleep problems,,2013-10-01 22:20:27,cnt_524b4aab945a1,usr_51bc76ae9636c
10,attention problems,,2013-10-01 22:20:55,cnt_524b4ac7607c5,usr_51bc76ae9636c
11,aggressive behavior,,2013-10-01 22:21:13,cnt_524b4ad9275ba,usr_51bc76ae9636c
12,internalizing problems,,2013-10-01 22:21:35,cnt_524b4aef50da4,usr_51bc76ae9636c
13,externalizing problems,,2013-10-01 22:21:50,cnt_524b4afe10a65,usr_51bc76ae9636c
14,affective problems,,2013-10-01 22:22:09,cnt_524b4b114d758,usr_51bc76ae9636c
15,anxiety problems,,2013-10-01 22:22:20,cnt_524b4b1c6dd43,usr_51bc76ae9636c
16,pervasive developmental score,,2013-10-01 22:22:40,cnt_524b4b30ea93c,usr_51bc76ae9636c
17,attention deficit hyperactivity,,2013-10-01 22:23:01,cnt_524b4b4506e51,usr_51bc76ae9636c
18,oppositional defiant problems,,2013-10-01 22:33:22,cnt_524b4db24ad5e,usr_51bc76ae9636c
19,social problems,,2013-10-01 22:24:03,cnt_524b4b83ab297,usr_51bc76ae9636c
20,thought problems,,2013-10-01 22:24:15,cnt_524b4b8f51cef,usr_51bc76ae9636c
21,obsessive compulsive problems,,2013-10-01 22:24:47,cnt_524b4baf1f04d,usr_51bc76ae9636c
22,post traumatic stress problems,,2013-10-01 22:25:13,cnt_524b4bc9ee0a0,usr_51bc76ae9636c
23,conduct problems,,2013-10-01 22:32:55,cnt_524b4d978c37c,usr_51bc76ae9636c
24,accuracy of subject minus average accuracy of controls,,2011-06-08 22:27:46,cnt_4deff762a9fb7,usr_4de5345b3b6a8
25,d&#39; (difference between correct identifications and false alarms),,2011-06-21 20:21:17,cnt_4e00fd3de3b0a,usr_4de5345b3b6a8
26,reaction time after some manipulation minus reaction time at baseline,,2011-06-21 20:21:54,cnt_4e00fd62beac3,usr_4de5345b3b6a8
27,path of eye movements,,2011-06-21 20:31:38,cnt_4e00ffaa486fa,usr_4de5345b3b6a8
28,average rating of sensation minus subject rating of sensation,,2011-06-13 22:06:12,cnt_4df689d409dec,usr_4de5345b3b6a8
29,areas of activation during task minus baseline,,2011-06-13 22:06:30,cnt_4df689e663ffe,usr_4de5345b3b6a8
30,subject rating during task minus subject baseline rating,,2011-06-13 22:06:54,cnt_4df689fe846de,usr_4de5345b3b6a8
31,probabilistic classification trials,,2010-10-06 22:04:23,cnt_4cacf26718047,usr_49a467bf4e0db
32,proportion of correct responses across all trials minus proportion correct on early trials,,2011-06-15 17:16:33,cnt_4df8e8f10f33a,usr_4de5345b3b6a8
33,accuracy of participant minus average accuracy of controls,,2011-06-15 17:16:48,cnt_4df8e900881cf,usr_4de5345b3b6a8
34,feedback,,2015-04-24 01:36:22,cnt_55399e161c884,usr_51bc76ae9636c
35,positive feedback,,2015-04-24 15:58:32,cnt_553a68284e225,usr_51bc76ae9636c
36,negative feedback,,2015-04-24 15:58:39,cnt_553a682f464e7,usr_51bc76ae9636c
37,positive minus negative feedback,,2015-04-24 15:58:53,cnt_553a683d08f6f,usr_51bc76ae9636c
38,all,,2015-04-24 16:33:48,cnt_553a706ca6e88,usr_51bc76ae9636c
39,survey IRT score,,2013-01-14 03:45:09,cnt_50f37f45b00e2,usr_4de5345b3b6a8
40,rest eyes open,rest_eyes_open,2015-02-20 03:02:38,cnt_54e6a3ceb7216,usr_51bc76ae9636c
41,rest eyes closed,rest_eyes_closed,2015-02-20 03:01:40,cnt_54e6a394d0fb8,usr_51bc76ae9636c
42,CS-participant report disparity,,2012-07-16 20:25:11,cnt_500478a733748,usr_4f177506dde77
43,perceptual identification,,2011-06-22 18:38:06,cnt_4e02368e6d840,usr_4de5345b3b6a8
44,lexical decision,,2011-06-22 18:38:42,cnt_4e0236b247798,usr_4de5345b3b6a8
45,response time to known words minus (or learned words) response time to unknown words,,2011-06-22 18:42:28,cnt_4e023794e822b,usr_4de5345b3b6a8
46,response time to pseudowords minus response time to words,,2011-06-22 18:42:50,cnt_4e0237aa75286,usr_4de5345b3b6a8
47,accuracy of participant minus average accuracy of controls,,2011-06-22 18:43:06,cnt_4e0237ba58871,usr_4de5345b3b6a8
48,latency identification,,2011-06-22 18:59:33,cnt_4e023b95e5100,usr_4de5345b3b6a8
49,primed identification,,2011-06-22 19:02:02,cnt_4e023c2ae3c76,usr_4de5345b3b6a8
50,stroop inference versus color naming,,2015-04-30 19:40:50,cnt_55428542ad068,usr_51bc76ae9636c
51,response latency,,2013-01-17 19:19:31,cnt_50f84ec36494c,usr_4de5345b3b6a8
52,movement time,,2013-01-17 19:19:38,cnt_50f84ecaeb640,usr_4de5345b3b6a8
53,sequence length,,2012-08-06 23:17:11,cnt_5020507780603,usr_4f177506dde77
54,emotion detection,,2011-06-06 17:46:25,cnt_4ded127195273,usr_4de5345b3b6a8
55,identity detection,,2011-06-06 17:47:11,cnt_4ded129f8c996,usr_4de5345b3b6a8
56,attention,,2015-07-15 18:21:50,cnt_55a6a4be25a47,usr_51bc76ae9636c
57,hyperactivity,,2015-07-15 18:21:58,cnt_55a6a4c6659ce,usr_51bc76ae9636c
58,total severity,,2015-07-15 18:22:12,cnt_55a6a4d4afbbf,usr_51bc76ae9636c
59,pain at baseline minus pain during acupuncture,,2011-06-23 18:09:21,cnt_4e038151ee9fb,usr_4de5345b3b6a8
60,areas of activation during task minus baseline,,2011-06-23 18:10:51,cnt_4e0381ab6d190,usr_4de5345b3b6a8
61,active versus sham,,2011-08-15 17:44:30,cnt_4e495afedc2df,usr_4e42a3196fbcd
62,number correct,,2013-01-17 19:38:45,cnt_50f853460010d,usr_4de5345b3b6a8
63,false positives,,2013-01-17 19:39:06,cnt_50f8535a4f6f2,usr_4de5345b3b6a8
64,d&#39; (difference between correct identifications and false alarms),,2011-06-16 23:38:22,cnt_4dfa93ee97bc8,usr_4de5345b3b6a8
65,accuracy of recognition minus accuracy of source identification,,2011-06-16 23:42:12,cnt_4dfa94d49dc90,usr_4de5345b3b6a8
66,conditional stimulus,,2011-06-01 23:16:31,cnt_4de6c84f74508,usr_4de5345b3b6a8
67,unconditional stimulus,,2012-08-06 22:15:58,cnt_5020421e4a79e,usr_4f177506dde77
68,unconditional response,,2011-06-01 23:20:37,cnt_4de6c945846f2,usr_4de5345b3b6a8
69,conditional response,,2011-06-01 23:21:40,cnt_4de6c9842dbbe,usr_4de5345b3b6a8
70,post-extinction response to CS,,2012-08-09 18:32:59,cnt_5024025b137a6,usr_4f177506dde77
71,post-extinction response to US,,2012-08-09 18:37:25,cnt_502403657d971,usr_4f177506dde77
72,percent correct,,2013-01-17 20:52:49,cnt_50f864a19c88d,usr_4de5345b3b6a8
73,false positives,,2013-01-17 20:53:02,cnt_50f864aed1ce5,usr_4de5345b3b6a8
74,correct pronunciation,,2013-01-07 21:27:05,cnt_50eb3da904b79,usr_4de5345b3b6a8
75,identification,,2013-01-07 21:27:38,cnt_50eb3dca702f2,usr_4de5345b3b6a8
76,arousal in response to picture minus baseline arousal,,2011-06-07 23:13:25,cnt_4deeb0951bd72,usr_4de5345b3b6a8
77,distracted RT minus non-distracted RT,,2015-07-13 00:06:35,cnt_55a3010bbd12c,usr_4e42a3196fbcd
78,Cold Task versus Baseline,,2011-09-09 16:59:27,cnt_4e6a45ef2fdb1,usr_4e4a7f57b30e6
79,Pain Task versus Cold Task,,2011-09-09 16:59:46,cnt_4e6a4602d08c8,usr_4e4a7f57b30e6
80,RMW,,2011-06-21 21:53:43,cnt_4e0112e7d3bca,usr_4de5345b3b6a8
81,RMF,,2011-06-21 21:54:09,cnt_4e011301aee39,usr_4de5345b3b6a8
82,RMW minus RMF,,2011-06-21 21:54:35,cnt_4e01131ba65a7,usr_4de5345b3b6a8
83,participant score minus average score,,2011-06-21 21:55:15,cnt_4e0113430ffad,usr_4de5345b3b6a8
84,Average difference in degrees from correct answer,,2013-08-10 22:31:20,cnt_5206bf3813b0d,usr_51bc76ae9636c
85,# of words recalled,,2013-01-07 21:48:35,cnt_50eb42b349127,usr_4de5345b3b6a8
86,go trial,,2010-01-06 14:57:25,cnt_4b44a4d544ee7,usr_49a467bf4e0db
87,stop trial,,2010-01-06 14:57:55,cnt_4b44a4f353f68,usr_49a467bf4e0db
88,stop signal reaction time,,2010-01-06 14:58:58,cnt_4b44a5321112e,usr_49a467bf4e0db
89,successful stop trial,,2010-08-18 04:21:41,cnt_4c6b5fd5bfc41,usr_49a467bf4e0db
90,unsuccessful stop trial,,2010-08-18 04:22:37,cnt_4c6b600d4b80f,usr_49a467bf4e0db
91,successful stop trial minus go trial,,2010-10-06 21:43:24,cnt_4caced7c54a55,usr_49a467bf4e0db
92,successful stop trial minus failed stop trial,,2013-12-17 08:36:51,cnt_52b00d23dc3e9,usr_4ec31fb01eab4
93,failed stop,,2015-04-24 01:33:31,cnt_55399d6bcd8dc,usr_51bc76ae9636c
94,junk,,2015-04-24 01:33:40,cnt_55399d74220c0,usr_51bc76ae9636c
95,all,,2015-04-24 01:33:48,cnt_55399d7c03593,usr_51bc76ae9636c
96,unsuccessful minus successful,,2015-04-24 01:34:16,cnt_55399d987e2f1,usr_51bc76ae9636c
97,areas of activation during task minus baseline,,2011-06-23 21:57:02,cnt_4e03b6ae397cc,usr_4de5345b3b6a8
98,accuracy of participant minus average accuracy of controls,,2011-06-14 18:58:04,cnt_4df7af3c32a49,usr_4de5345b3b6a8
99,muscle control,,2011-06-03 22:16:15,cnt_4de95d2ff1462,usr_4de5345b3b6a8
100,areas of activation during task minus baseline,,2011-06-23 19:53:31,cnt_4e0399bbae0ed,usr_4de5345b3b6a8
101,no response (task),,2015-04-24 16:16:59,cnt_553a6c7bb774d,usr_51bc76ae9636c
102,correct response (task),,2015-04-24 16:17:08,cnt_553a6c849b13f,usr_51bc76ae9636c
103,correct or incorrect response (control),,2015-04-24 16:17:29,cnt_553a6c99a61ed,usr_51bc76ae9636c
104,accuracy of participant minus average accuracy of age-matched controls,,2011-06-14 00:12:32,cnt_4df6a77053b3f,usr_4de5345b3b6a8
105,aggressiveness,,2013-10-19 19:12:11,cnt_5262d98b148af,usr_51bc76ae9636c
106,arousal,,2013-10-19 19:12:20,cnt_5262d994b86f1,usr_51bc76ae9636c
107,phonological skills,,2013-10-19 19:12:33,cnt_5262d9a1aec5c,usr_51bc76ae9636c
108,semantic/pragmatic competence,,2013-10-19 19:12:55,cnt_5262d9b79a40e,usr_51bc76ae9636c
109,specific fears,,2013-10-19 19:13:21,cnt_5262d9d19c56b,usr_51bc76ae9636c
110,"learning, memory, and receptive language",,2013-10-19 19:13:45,cnt_5262d9e96079d,usr_51bc76ae9636c
111,ritualisms,,2013-10-19 19:14:05,cnt_5262d9fd26a5f,usr_51bc76ae9636c
112,sensory total,,2013-10-19 19:14:19,cnt_5262da0b14ae6,usr_51bc76ae9636c
113,semantic/pragmatic problems,,2013-10-19 19:14:37,cnt_5262da1dbe022,usr_51bc76ae9636c
114,social approach,,2013-10-19 19:15:06,cnt_5262da3a15ba0,usr_51bc76ae9636c
115,total score,,2013-10-19 19:15:15,cnt_5262da43d451b,usr_51bc76ae9636c
116,listening span of participant minus average listening span,,2011-06-16 17:33:01,cnt_4dfa3e4d70781,usr_4de5345b3b6a8
117,listening comprehension of participant minus average listening comprehension,,2011-06-16 17:34:50,cnt_4dfa3ebab2930,usr_4de5345b3b6a8
118,listening span with comprehension questions minus listening span without,,2011-06-16 17:35:46,cnt_4dfa3ef2bcbf0,usr_4de5345b3b6a8
119,listening comprehension with listening span task minus listening comprehension without,,2011-06-16 17:36:14,cnt_4dfa3f0edd3d4,usr_4de5345b3b6a8
120,sequence length,,2012-08-06 19:22:18,cnt_5020196a49a19,usr_4f177506dde77
121,Random Interaction,,2015-04-17 17:49:39,cnt_553147b362347,usr_51bc76ae9636c
122,Mental Interaction,,2015-04-17 17:49:47,cnt_553147bb4e97d,usr_51bc76ae9636c
123,Random Interaction minus Mental Interaction,,2015-04-17 17:50:42,cnt_553147f2ea504,usr_51bc76ae9636c
124,Negative Random Interaction,,2015-04-17 17:55:43,cnt_5531491f76a16,usr_51bc76ae9636c
125,Negative Mental Interaction,,2015-04-17 17:55:57,cnt_5531492d016c7,usr_51bc76ae9636c
