,Action Observation,Acupuncture,Age,Anti-Saccades,Braille Reading,Breath-Holding,CIAS,Chewing/Swallowing,Classical Conditioning,Counting/Calculation,Cued Explicit Recognition,Deception Task,Deductive Reasoning,Delay Discounting Task,Delayed Match To Sample,Divided Auditory Attention,Drawing,Eating/Drinking,Encoding,Episodic Recall,Face Monitor/Discrimination,Film Viewing,Finger Tapping,Fixation,Flanker Task,Flashing Checkerboard,Flexion/Extension,Free Word List Recall,Go/No-Go,Grasping,Imagined Movement,Imagined Objects/Scenes,Isometric Force,Mental Rotation,Micturition Task,Music Comprehension/Production,Naming (Covert),Naming (Overt),Non-Painful Electrical Stimulation,Non-Painful Thermal Stimulation,Oddball Discrimination,Olfactory Monitor/Discrimination,Orthographic Discrimination,Pain Monitor/Discrimination,PainLevel,Paired Associate Recall,Passive Listening,Passive Viewing,Phonological Discrimination,Pitch Monitor/Discrimination,Pointing,Posner Task,Reading (Covert),Reading (Overt),Recitation/Repetition (Covert),Recitation/Repetition (Overt),Rest,Reward Task,Saccades,Semantic Monitor/Discrimination,Sequence Recall/Learning,Sex,Simon Task,Sleep,Spatial/Location Discrimination,Sternberg Task,Stroop Task,SubjectID,Subjective Emotional Picture Discrimination,Syntactic Discrimination,Tactile Monitor/Discrimination,Task Switching,Theory of Mind Task,Tone Monitor/Discrimination,Tower of London,Transcranial Magnetic Stimulation,Vibrotactile Monitor/Discrimination,Video Games,Visual Distractor/Visual Attention,Visual Pursuit/Tracking,Whistling,Wisconsin Card Sorting Test,Word Generation (Covert),Word Generation (Overt),Word Stem Completion (Covert),Word Stem Completion (Overt),Writing,add_date,analysis_level,brain_coverage,brainpedia_labels,brainpedia_study,cognitive_contrast_cogatlas,cognitive_contrast_cogatlas_id,cognitive_paradigm_cogatlas,cognitive_paradigm_cogatlas_id,cognitive_paradigm_description_url,collection,collection_id,contrast_definition,contrast_definition_cogatlas,custom_prop,data,description,figure,file,file_size,id,image_type,is_thresholded,is_valid,label_description_file,map_type,modality,modify_date,n-back,name,nidm_results,nidm_results_ttl,not_mni,number_of_subjects,perc_bad_voxels,perc_voxels_outside,random_property_1,random_property_2,reduced_representation,smoothness_fwhm,statistic_parameters,task,thumbnail,type,url
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.599510Z,,100.0,,,parametric loss,cnt_4cacee8ad4b14,mixed gambles task,trm_4cacee4a1d875,,http://neurovault.org/collections/3/,3,parametric loss,,,,,,http://neurovault.org/media/images/3/task001_cope06_neg_loss_param.nii.gz,877105,8719,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T21:44:04.649910Z,,task001_cope06_neg_loss_param,,,False,16.0,74.6869422542,0.0,,,http://neurovault.org/media/images/3/transform_4mm_8719.npy,,,,http://neurovault.org/media/images/3/glass_brain_8719.jpg,,http://neurovault.org/images/8719/
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:24.406786Z,group,100.0,,,difference from indifference,cnt_5175b81f53bf3,mixed gambles task,trm_4cacee4a1d875,,http://neurovault.org/collections/3/,3,distance from indifference,,,,,,http://neurovault.org/media/images/3/task001_cope04_distance%20from%20indifference.nii.gz,878581,8718,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:24.406804Z,,task001_cope04_distance from indifference,,,False,16.0,74.6869422542,0.0,,,http://neurovault.org/media/images/3/transform_4mm_8718.npy,,,,http://neurovault.org/media/images/3/glass_brain_8718.jpg,,http://neurovault.org/images/8718/
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:21:54.152958Z,,100.0,,,parametric gain,cnt_5181f79e38fb2,mixed gambles task,trm_4cacee4a1d875,,http://neurovault.org/collections/3/,3,parametric gain,,,,Parametric effect of gains,,http://neurovault.org/media/images/3/task001_cope02_parametric%20gain.nii.gz,873234,4,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T21:43:05.321499Z,,task001_cope02_parametric gain,,,False,16.0,74.6869422542,0.0,,,http://neurovault.org/media/images/3/transform_4mm_4.npy,,,,http://neurovault.org/media/images/3/glass_brain_4.jpg,,http://neurovault.org/images/4/
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.579422Z,group,100.0,,,task minus baseline,cnt_55ef1305643e9,mixed gambles task,trm_4cacee4a1d875,,http://neurovault.org/collections/3/,3,task minus baseline,,,,task vs. baseline,,http://neurovault.org/media/images/3/task001_cope01_task.nii.gz,878304,3,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:25.579440Z,,task001_cope01_task,,,False,16.0,74.6869422542,0.0,,,http://neurovault.org/media/images/3/transform_4mm_3.npy,,,,http://neurovault.org/media/images/3/glass_brain_3.jpg,,http://neurovault.org/images/3/
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:18.384166Z,group,100.0,,,pre-cash trials minus pre-pump trials matched for risk level,cnt_5542665e734fe,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/34/,34,pre-cash trials minus pre-pump trials with risk level matched,,,,"Contrast between trials preceding cashout trials and trials preceding pump trials in the BART (trials matched for level of risk)

This contrast is contrasting trials immediately preceding a cashout vs. trials immediately preceding a pump. However, the pre-pump condition only contains a subset of all the pre-pump trials for that participant that are matched to the risk level of that participant's pre-cashout trials. So both the pre-pump and pre-cashout regressor would include 3 trials from pump #3, 5 trials from pump #4, 2 trials from pump #5, and so on.",,http://neurovault.org/media/images/34/tstatsCashoutsMinusPumpMasked.nii.gz,935285,109,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:23:18.384198Z,,Pre-cashout vs. pre-pump,,,False,108.0,74.6869422542,0.0,,,http://neurovault.org/media/images/34/transform_4mm_109.npy,5.0,,,http://neurovault.org/media/images/34/glass_brain_109.jpg,,http://neurovault.org/images/109/
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:23:03.799246Z,group,82.5116091788,,,high-value go choice at probe,cnt_553e7a5b2584d,cue approach task,trm_553e77e53497d,,http://neurovault.org/collections/35/,35,parametric number of high value go choice at probe,,,,Parametric effect of the number of times each high-value Go item was chosen during probe.,3A,http://neurovault.org/media/images/35/Fig3A_zstat1_2.nii.gz,740889,111,statistic_map,False,True,,Z map,fMRI-BOLD,2016-01-21T17:23:03.799264Z,,Fig3A_zstat1.nii.gz,,,False,21.0,78.4232503055,3.20038201255,,,http://neurovault.org/media/images/35/transform_4mm_111.npy,,,,http://neurovault.org/media/images/35/glass_brain_111.jpg,,http://neurovault.org/images/111/
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.405532Z,group,99.9623604382,,,pumps average,cnt_55399f7c60721,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/39/,39,pumps average,,,,FSL5.0,,http://neurovault.org/media/images/39/task001_cope01_pumps_fixed.nii.gz,878169,120,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:25.405551Z,,task001 pumps average,,,False,16.0,74.6964699783,0.0,,,http://neurovault.org/media/images/39/transform_4mm_120.npy,,,,http://neurovault.org/media/images/39/glass_brain_120.jpg,,http://neurovault.org/images/120/
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.456768Z,,99.9623604382,,,pumps parametric,cnt_55399f8675b23,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/39/,39,pumps parametric,,,,FSL5.0,,http://neurovault.org/media/images/39/task001_cope02_pumps_demean.nii.gz,877288,122,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-27T21:44:04.226380Z,,task001 pumps parametric,,,False,16.0,74.6964699783,0.0,,,http://neurovault.org/media/images/39/transform_4mm_122.npy,,,,http://neurovault.org/media/images/39/glass_brain_122.jpg,,http://neurovault.org/images/122/
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.466844Z,group,99.9623604382,,,explode average,cnt_55399f9ac9c55,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/39/,39,explode average,,,,FSL5.0,,http://neurovault.org/media/images/39/task001_cope07_explode_fixed.nii.gz,877656,119,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:25.466863Z,,task001 explode average,,,False,16.0,74.6964699783,0.0,,,http://neurovault.org/media/images/39/transform_4mm_119.npy,,,,http://neurovault.org/media/images/39/glass_brain_119.jpg,,http://neurovault.org/images/119/
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-21T17:22:25.619792Z,group,99.9623604382,,,cash average,cnt_55399f4618e42,balloon analogue risk task (BART),trm_4d559bcd67c18,,http://neurovault.org/collections/39/,39,cash average,,,,FSL5.0,,http://neurovault.org/media/images/39/task001_cope04_cash_fixed.nii.gz,863094,118,statistic_map,False,True,,T map,fMRI-BOLD,2016-01-21T17:22:25.619810Z,,task001 cash average,,,False,16.0,74.6964699783,0.0,,,http://neurovault.org/media/images/39/transform_4mm_118.npy,,,,http://neurovault.org/media/images/39/glass_brain_118.jpg,,http://neurovault.org/images/118/
